"Main";"Middle";"Sub";"Main";"Middle";"Sub"
 ; ;"RS - QGTC01 - TIEP - TL ILU - CTO 10 ILU EXTERIOR PORTERIA";"1";"1";"117"
 ; ;"RS - QGTC01 - TIEP - TL ILU - CTO 11-12 ALIMENTACION TALANQUERAS";"1";"1";"118"
 ; ;"RS - QGTC01 - TIEP - TL ILU - RESERVA EQUIPADA";"1";"1";"119"
 ; ;"RS - QGTC01 - TZTF - TL ILU - CTO 1 ILU PLANTAS Y SUBESTACION";"1";"1";"120"
 ; ;"RS - QGTC01 - TZTF - TL ILU - CTO 2 ILU PASILLO Y CUARTO TECNICO FRIOS";"1";"1";"121"
 ; ;"RS - QGTC01 - TZTF - TL ILU - CTO 3 ILU CUARTO FRIO INDUSTRIAL";"1";"1";"122"
 ; ;"RS - QGTC01 - TZTF - TL ILU - CTO 4 ILU EMERGENCIA.";"1";"1";"123"
 ; ;"RS - QGTC01 - TZTF - TL ILU - CTO 5 ILU BANOS";"1";"1";"124"
 ; ;"RS - QGTC01 - TZTF - TL ILU - CTO 6 ILU ZONA DE DESCANSO-PASILLOS";"1";"1";"125"
 ; ;"RS - QGTC01 - TZTF - TL ILU - CTO 7 ILU ACCESO Y CUARTO BATERIAS";"1";"1";"126"
 ; ;"RS - QGTC01 - TZTF - TL ILU - CTO 8 ILU BODEGA 1 Y 2";"1";"1";"127"
 ; ;"RS - QGTC01 - TZTF - TL ILU - CTO 9 ILU BODEGA 3";"1";"1";"128"
 ; ;"RS - QGTC01 - TZTF - TL ILU - CTO 10 ILU TUNEL DE FRIO";"1";"1";"129"
 ; ;"RS - QGTC01 - TZTF - TL ILU - CTO 11 ILU CONTENEDORES";"1";"1";"130"
 ; ;"RS - QGTC01 - TZTF - TL ILU - CTO 12 ILU CONTENEDORES";"1";"1";"131"
 ;"QG.TC.02/1"; ;"1";"2";""
 ; ;"SW -L1X-DGI-TC2-TL 1-TZTS-ILUMINACION DEVOLUCIONES-GARANTIAS-IT";"1";"2";"0"
 ; ;"RS_ON/OFF L1X-DGI-TC2-TL 1-TZTS-ILUMINACION DEVOLUCIONES-GARANTIAS-IT";"1";"2";"1"
 ; ;"SW -L2X-MT-TC2-TL 2-TZTS-ILUMINACION MARKETING Y TECNICA";"1";"2";"2"
 ; ;"RS_ON/OFF L2X-MT-TC2-TL 2-TZTS-ILUMINACION MARKETING Y TECNICA";"1";"2";"3"
 ; ;"SW -L3X-MT-TC2-TL 3-TZTS-ILUMINACION MARKETING Y TECNICA";"1";"2";"4"
 ; ;"RS_ON/OFF L3X-MT-TC2-TL 3-TZTS-ILUMINACION MARKETING Y TECNICA";"1";"2";"5"
 ; ;"SW -L4X-MAT-TC2-TL 4-TZTS-ILUMINACION MACULATURA- AREA TECNICA";"1";"2";"6"
 ; ;"RS_ON/OFF L4X-MAT-TC2-TL 4-TZTS-ILUMINACION MACULATURA- AREA TECNICA";"1";"2";"7"
 ; ;"SW -L5X-MAT-TC2-TL 5-TZTS-ILUMINACION MACULATURA- AREA TECNICA";"1";"2";"8"
 ; ;"RS_ON/OFF L5X-MAT-TC2-TL 5-TZTS-ILUMINACION MACULATURA- AREA TECNICA";"1";"2";"9"
 ; ;"SW -L1/2D-PL-TC2-TL 1-TB4-ILUMINACION PALETS";"1";"2";"10"
 ; ;"RS_ON/OFF L1/2D-PL-TC2-TL 1-TB4-ILUMINACION PALETS";"1";"2";"11"
 ; ;"SW -L3/4D-PL-TC2-TL 2-TB4-ILUMINACION PALETS";"1";"2";"12"
 ; ;"RS_ON/OFF L3/4D-PL-TC2-TL 2-TB4-ILUMINACION PALETS";"1";"2";"13"
 ; ;"SW -L5/6D-RS-TC2-TL 3-TB4-ILUMINACION RACK´S";"1";"2";"14"
 ; ;"RS_ON/OFF L5/6D-RS-TC2-TL 3-TB4-ILUMINACION RACK´S";"1";"2";"15"
 ; ;"SW -L7/8D-RS-TC2-TL 4-TB4-ILUMINACION RACK´S";"1";"2";"16"
 ; ;"RS_ON/OFF L7/8D-RS-TC2-TL 4-TB4-ILUMINACION RACK´S";"1";"2";"17"
 ; ;"SW -L9/10D-RS-TC2-TL 5-TB4-ILUMINACION RACK´S";"1";"2";"18"
 ; ;"RS_ON/OFF L9/10D-RS-TC2-TL 5-TB4-ILUMINACION RACK´S";"1";"2";"19"
 ; ;"SW -L11/12D-RS-TC2-TL 6-TB4-ILUMINACION RACK´S";"1";"2";"20"
 ; ;"RS_ON/OFF L11/12D-RS-TC2-TL 6-TB4-ILUMINACION RACK´S";"1";"2";"21"
 ; ;"SW -L13/14D-RS-TC2-TL 7-TB4-ILUMINACION RACK´S";"1";"2";"22"
 ; ;"RS_ON/OFF L13/14D-RS-TC2-TL 7-TB4-ILUMINACION RACK´S";"1";"2";"23"
 ; ;"SW -L15/16D-RS-TC2-TL 8-TB4-ILUMINACION RACK´S";"1";"2";"24"
 ; ;"RS_ON/OFF L15/16D-RS-TC2-TL 8-TB4-ILUMINACION RACK´S";"1";"2";"25"
 ; ;"SW -L17/18D-RS-TC2-TL 9-TB4-ILUMINACION RACK´S";"1";"2";"26"
 ; ;"RS_ON/OFF L17/18D-RS-TC2-TL 9-TB4-ILUMINACION RACK´S";"1";"2";"27"
 ; ;"SW -L19/20D-RS-TC2-TL 10-TB4-ILUMINACION RACK´S";"1";"2";"28"
 ; ;"RS_ON/OFF L19/20D-RS-TC2-TL 10-TB4-ILUMINACION RACK´S";"1";"2";"29"
 ; ;"SW -L23/24D-RS-TC2-TL 10-TB4-ILUMINACION RACK´S";"1";"2";"30"
 ; ;"RS_ON/OFF L23/24D-RS-TC2-TL 10-TB4-ILUMINACION RACK´S";"1";"2";"31"
 ; ;"SW -L1/2X-B4-TC2-TL 1-TEB4-INVERSOR 1 BODEGA 4";"1";"2";"32"
 ; ;"RS_ON/OFF L1/2X-B4-TC2-TL 1-TEB4-INVERSOR 1 BODEGA 4";"1";"2";"33"
 ; ;"SW -L3/4X-RE-TC2-TL 2-TEB4-RESERVA EQUIPADA";"1";"2";"34"
 ; ;"RS_ON/OFF L3/4X-RE-TC2-TL 2-TEB4-RESERVA EQUIPADA";"1";"2";"35"
 ; ;"SW -L1/2X-MLL-TC2-TL 1-TIEB4-ILIMINACION MUELLES";"1";"2";"36"
 ; ;"RS_ON/OFF L1/2X-MLL-TC2-TL 1-TIEB4-ILIMINACION MUELLES";"1";"2";"37"
 ; ;"SW -L3/4X-MLL-TC2-TL 2-TIEB4-ILIMINACION MUELLES";"1";"2";"38"
 ; ;"RS_ON/OFF L3/4X-MLL-TC2-TL 2-TIEB4-ILIMINACION MUELLES";"1";"2";"39"
 ; ;"SW -L5/6X-EXT-TC2-TL 3-TIEB4-ILUMINACION EXTERIOR";"1";"2";"40"
 ; ;"RS_ON/OFF L5/6X-EXT-TC2-TL 3-TIEB4-ILUMINACION EXTERIOR";"1";"2";"41"
 ; ;"SW -L7/8X-EXT-TC2-TL 4-TIEB4-ILUMINACION EXTERIOR";"1";"2";"42"
 ; ;"RS_ON/OFF L7/8X-EXT-TC2-TL 4-TIEB4-ILUMINACION EXTERIOR";"1";"2";"43"
 ; ;"SW -L9X-RE-TC2-TL 5-TIEB4-RESERVA EQUIPADA";"1";"2";"44"
 ; ;"RS_ON/OFF L9X-RE-TC2-TL 5-TIEB4-RESERVA EQUIPADA";"1";"2";"45"
 ; ;"SW -L10X-RE-TC2-TL 6-TIEB4-RESERVA EQUIPADA";"1";"2";"46"
 ; ;"RS_ON/OFF L10X-RE-TC2-TL 6-TIEB4-RESERVA EQUIPADA";"1";"2";"47"
 ; ;"SW -L11X-RE-TC2-TL 6-TIEB4-RESERVA EQUIPADA";"1";"2";"48"
 ; ;"RS_ON/OFF L11X-RE-TC2-TL 6-TIEB4-RESERVA EQUIPADA";"1";"2";"49"
 ; ;"SW -L12X-RE-TC2-TL 7-TIEB4-RESERVA EQUIPADA";"1";"2";"50"
 ; ;"RS_ON/OFF L12X-RE-TC2-TL 7-TIEB4-RESERVA EQUIPADA";"1";"2";"51"
 ; ;"SW -L1/2D-PL-TC2-TL 1-TB3-ILUMINACION PALETS";"1";"2";"52"
 ; ;"RS_ON/OFF L1/2D-PL-TC2-TL 1-TB3-ILUMINACION PALETS";"1";"2";"53"
 ; ;"SW -L3/4D-PL-TC2-TL 2-TB3-ILUMINACION PALETS";"1";"2";"54"
 ; ;"RS_ON/OFF L3/4D-PL-TC2-TL 2-TB3-ILUMINACION PALETS";"1";"2";"55"
 ; ;"SW -L5/6D-RS-TC2-TL 3-TB3-ILUMINACION RACK´S";"1";"2";"56"
 ; ;"RS_ON/OFF L5/6D-RS-TC2-TL 3-TB3-ILUMINACION RACK´S";"1";"2";"57"
 ; ;"SW -L7/8D-RS-TC2-TL 4-TB3-ILUMINACION RACK´S";"1";"2";"58"
 ; ;"RS_ON/OFF L7/8D-RS-TC2-TL 4-TB3-ILUMINACION RACK´S";"1";"2";"59"
 ; ;"SW -L9/10D-RS-TC2-TL 5-TB3-ILUMINACION RACK´S";"1";"2";"60"
 ; ;"RS_ON/OFF L9/10D-RS-TC2-TL 5-TB3-ILUMINACION RACK´S";"1";"2";"61"
 ; ;"SW -L11/12D-PL-TC2-TL 6-TB3-ILUMINACION PALETS";"1";"2";"62"
 ; ;"RS_ON/OFF L11/12D-PL-TC2-TL 6-TB3-ILUMINACION PALETS";"1";"2";"63"
 ; ;"SW -L13/14D-PL-TC2-TL 7-TB3-ILUMINACION PALETS";"1";"2";"64"
 ; ;"RS_ON/OFF L13/14D-PL-TC2-TL 7-TB3-ILUMINACION PALETS";"1";"2";"65"
 ; ;"SW -L15/16D-PL-TC2-TL 8-TB3-ILUMINACION PALETS";"1";"2";"66"
 ; ;"RS_ON/OFF L15/16D-PL-TC2-TL 8-TB3-ILUMINACION PALETS";"1";"2";"67"
 ; ;"SW -L17/18D-PL-TC2-TL 9-TB3-ILUMINACION PALETS";"1";"2";"68"
 ; ;"RS_ON/OFF L17/18D-PL-TC2-TL 9-TB3-ILUMINACION PALETS";"1";"2";"69"
 ; ;"SW -L19/20D-RE-TC2-TL 10-TB3-RESERVA EQUIPADA";"1";"2";"70"
 ; ;"RS_ON/OFF L19/20D-RE-TC2-TL 10-TB3-RESERVA EQUIPADA";"1";"2";"71"
 ; ;"SW -L1/2X-B3-TC2-TL 1-TEB3-INVERSOR 1 BODEGA 3";"1";"2";"72"
 ; ;"RS_ON/OFF L1/2X-B3-TC2-TL 1-TEB3-INVERSOR 1 BODEGA 3";"1";"2";"73"
 ; ;"SW -L3/4X-RE-TC2-TL 2-TEB3-RESERVA EQUIPADA";"1";"2";"74"
 ; ;"RS_ON/OFF L3/4X-RE-TC2-TL 2-TEB3-RESERVA EQUIPADA";"1";"2";"75"
 ; ;"SW -L5X-RE-TC2-TL 3-TEB3-RESERVA EQUIPADA";"1";"2";"76"
 ; ;"RS_ON/OFF L5X-RE-TC2-TL 3-TEB3-RESERVA EQUIPADA";"1";"2";"77"
 ; ;"SW -L6X-RE-TC2-TL 4-TEB3-RESERVA EQUIPADA";"1";"2";"78"
 ; ;"RS_ON/OFF L6X-RE-TC2-TL 4-TEB3-RESERVA EQUIPADA";"1";"2";"79"
 ; ;"SW -L1/2X-PT-TC2-TL 1-TPB4-ILUMINACION PLATAFORMA TECNICA";"1";"2";"80"
 ; ;"RS_ON/OFF L1/2X-PT-TC2-TL 1-TPB4-ILUMINACION PLATAFORMA TECNICA";"1";"2";"81"
 ; ;"SW -L3/4X-PT-TC2-TL 2-TPB4-ILUMINACION PLATAFORMA TECNICA";"1";"2";"82"
 ; ;"RS_ON/OFF L3/4X-PT-TC2-TL 2-TPB4-ILUMINACION PLATAFORMA TECNICA";"1";"2";"83"
 ; ;"SW -L5/6X-CB-TC2-TL 3-TPB4-ILUMINACION CUBIERTA";"1";"2";"84"
 ; ;"RS_ON/OFF L5/6X-CB-TC2-TL 3-TPB4-ILUMINACION CUBIERTA";"1";"2";"85"
 ; ;"SW -L7/8X-CB-TC2-TL 4-TPB4-ILUMINACION CUBIERTA";"1";"2";"86"
 ; ;"RS_ON/OFF L7/8X-CB-TC2-TL 4-TPB4-ILUMINACION CUBIERTA";"1";"2";"87"
 ;"QG.TC.02/2"; ;"1";"3";""
 ; ;"REG_ABS 1 BYTE 0-10_ L1/2D-PL-TC2-TL 1-TB4-ILUMINACION PALETS";"1";"3";"0"
 ; ;"RS_REG 1 BYTE 0-10_ L1/2D-PL-TC2-TL 1-TB4-ILUMINACION PALETS";"1";"3";"1"
 ; ;"ON/OFF  0-10_ L1/2D-PL-TC2-TL 1-TB4-ILUMINACION PALETS";"1";"3";"2"
 ; ;"RS_ON/OFF  0-10_ L1/2D-PL-TC2-TL 1-TB4-ILUMINACION PALETS";"1";"3";"3"
 ; ;"REG_ABS 1 BYTE 0-10_ L3/4D-PL-TC2-TL 2-TB4-ILUMINACION PALETS";"1";"3";"4"
 ; ;"RS_REG 1 BYTE 0-10_ L3/4D-PL-TC2-TL 2-TB4-ILUMINACION PALETS";"1";"3";"5"
 ; ;"ON/OFF  0-10_ L3/4D-PL-TC2-TL 2-TB4-ILUMINACION PALETS";"1";"3";"6"
 ; ;"RS_ON/OFF  0-10_ L3/4D-PL-TC2-TL 2-TB4-ILUMINACION PALETS";"1";"3";"7"
 ; ;"REG_ABS 1 BYTE 0-10_ L5/6D-RS-TC2-TL 3-TB4-ILUMINACION RACK´S";"1";"3";"8"
 ; ;"RS_REG 1 BYTE 0-10_ L5/6D-RS-TC2-TL 3-TB4-ILUMINACION RACK´S";"1";"3";"9"
